"Column0","Column1","mol2","name"
"76079_out_ligand_01",7784,".mol2","76079_out_ligand_01.mol2"
"83940_out_ligand_01",7781,".mol2","83940_out_ligand_01.mol2"
"30851_out_ligand_01",7776,".mol2","30851_out_ligand_01.mol2"
"83500_out_ligand_01",7770,".mol2","83500_out_ligand_01.mol2"
"42476_out_ligand_01",7770,".mol2","42476_out_ligand_01.mol2"
"72013_out_ligand_01",7760,".mol2","72013_out_ligand_01.mol2"
"75178_out_ligand_01",7738,".mol2","75178_out_ligand_01.mol2"
"30735_out_ligand_01",7737,".mol2","30735_out_ligand_01.mol2"
"46990_out_ligand_01",7729,".mol2","46990_out_ligand_01.mol2"
"62428_out_ligand_01",7725,".mol2","62428_out_ligand_01.mol2"
"23612_out_ligand_01",7725,".mol2","23612_out_ligand_01.mol2"
"3203_out_ligand_01",7721,".mol2","3203_out_ligand_01.mol2"
"30744_out_ligand_01",7716,".mol2","30744_out_ligand_01.mol2"
"11849_out_ligand_01",7715,".mol2","11849_out_ligand_01.mol2"
"55861_out_ligand_01",7715,".mol2","55861_out_ligand_01.mol2"
"28609_out_ligand_01",7713,".mol2","28609_out_ligand_01.mol2"
"4162_out_ligand_01",7713,".mol2","4162_out_ligand_01.mol2"
"19603_out_ligand_01",7710,".mol2","19603_out_ligand_01.mol2"
"26167_out_ligand_01",7709,".mol2","26167_out_ligand_01.mol2"
"62538_out_ligand_01",7709,".mol2","62538_out_ligand_01.mol2"
"73132_out_ligand_01",7706,".mol2","73132_out_ligand_01.mol2"
"23454_out_ligand_01",7704,".mol2","23454_out_ligand_01.mol2"
"81873_out_ligand_01",7702,".mol2","81873_out_ligand_01.mol2"
"16965_out_ligand_01",7700,".mol2","16965_out_ligand_01.mol2"
"73133_out_ligand_01",7699,".mol2","73133_out_ligand_01.mol2"
"12302_out_ligand_01",7698,".mol2","12302_out_ligand_01.mol2"
"914_out_ligand_01",7696,".mol2","914_out_ligand_01.mol2"
"5122_out_ligand_01",7694,".mol2","5122_out_ligand_01.mol2"
"31160_out_ligand_01",7692,".mol2","31160_out_ligand_01.mol2"
"13055_out_ligand_01",7691,".mol2","13055_out_ligand_01.mol2"
"45722_out_ligand_01",7687,".mol2","45722_out_ligand_01.mol2"
"73100_out_ligand_01",7685,".mol2","73100_out_ligand_01.mol2"
"35553_out_ligand_01",7684,".mol2","35553_out_ligand_01.mol2"
"43390_out_ligand_01",7683,".mol2","43390_out_ligand_01.mol2"
"53791_out_ligand_01",7683,".mol2","53791_out_ligand_01.mol2"
"12617_out_ligand_01",7681,".mol2","12617_out_ligand_01.mol2"
"43236_out_ligand_01",7676,".mol2","43236_out_ligand_01.mol2"
"14386_out_ligand_01",7676,".mol2","14386_out_ligand_01.mol2"
"9706_out_ligand_01",7676,".mol2","9706_out_ligand_01.mol2"
"4956_out_ligand_01",7675,".mol2","4956_out_ligand_01.mol2"
"28583_out_ligand_01",7673,".mol2","28583_out_ligand_01.mol2"
"42455_out_ligand_01",7672,".mol2","42455_out_ligand_01.mol2"
"38041_out_ligand_01",7672,".mol2","38041_out_ligand_01.mol2"
"6440_out_ligand_01",7672,".mol2","6440_out_ligand_01.mol2"
"34489_out_ligand_01",7671,".mol2","34489_out_ligand_01.mol2"
"45344_out_ligand_01",7671,".mol2","45344_out_ligand_01.mol2"
"16654_out_ligand_01",7670,".mol2","16654_out_ligand_01.mol2"
"52561_out_ligand_01",7669,".mol2","52561_out_ligand_01.mol2"
"6174_out_ligand_01",7668,".mol2","6174_out_ligand_01.mol2"
"9676_out_ligand_01",7667,".mol2","9676_out_ligand_01.mol2"
"572_out_ligand_01",7667,".mol2","572_out_ligand_01.mol2"
"39153_out_ligand_01",7665,".mol2","39153_out_ligand_01.mol2"
"76400_out_ligand_01",7664,".mol2","76400_out_ligand_01.mol2"
"73797_out_ligand_01",7663,".mol2","73797_out_ligand_01.mol2"
"tr13502_out_ligand_01",7661,".mol2","tr13502_out_ligand_01.mol2"
"5663_out_ligand_01",7661,".mol2","5663_out_ligand_01.mol2"
"4947_out_ligand_01",7661,".mol2","4947_out_ligand_01.mol2"
"39134_out_ligand_01",7660,".mol2","39134_out_ligand_01.mol2"
"52570_out_ligand_01",7660,".mol2","52570_out_ligand_01.mol2"
"18219_out_ligand_01",7660,".mol2","18219_out_ligand_01.mol2"
"73384_out_ligand_01",7658,".mol2","73384_out_ligand_01.mol2"
"50696_out_ligand_01",7658,".mol2","50696_out_ligand_01.mol2"
"75522_out_ligand_01",7653,".mol2","75522_out_ligand_01.mol2"
"33992_out_ligand_01",7651,".mol2","33992_out_ligand_01.mol2"
"43360_out_ligand_01",7651,".mol2","43360_out_ligand_01.mol2"
"tr13757_out_ligand_01",7650,".mol2","tr13757_out_ligand_01.mol2"
"22940_out_ligand_01",7648,".mol2","22940_out_ligand_01.mol2"
"495_out_ligand_01",7648,".mol2","495_out_ligand_01.mol2"
"43601_out_ligand_01",7646,".mol2","43601_out_ligand_01.mol2"
"57388_out_ligand_01",7646,".mol2","57388_out_ligand_01.mol2"
"tr13710_out_ligand_01",7646,".mol2","tr13710_out_ligand_01.mol2"
"77587_out_ligand_01",7645,".mol2","77587_out_ligand_01.mol2"
"68010_out_ligand_01",7643,".mol2","68010_out_ligand_01.mol2"
"73091_out_ligand_01",7642,".mol2","73091_out_ligand_01.mol2"
"3208_out_ligand_01",7640,".mol2","3208_out_ligand_01.mol2"
"31497_out_ligand_01",7639,".mol2","31497_out_ligand_01.mol2"
"68302_out_ligand_01",7637,".mol2","68302_out_ligand_01.mol2"
"19416_out_ligand_01",7635,".mol2","19416_out_ligand_01.mol2"
"18091_out_ligand_01",7634,".mol2","18091_out_ligand_01.mol2"
"26884_out_ligand_01",7634,".mol2","26884_out_ligand_01.mol2"
"21005_out_ligand_01",7633,".mol2","21005_out_ligand_01.mol2"
"52194_out_ligand_01",7631,".mol2","52194_out_ligand_01.mol2"
"19172_out_ligand_01",7631,".mol2","19172_out_ligand_01.mol2"
"60806_out_ligand_01",7630,".mol2","60806_out_ligand_01.mol2"
"28779_out_ligand_01",7630,".mol2","28779_out_ligand_01.mol2"
"tr13756_out_ligand_01",7630,".mol2","tr13756_out_ligand_01.mol2"
"21382_out_ligand_01",7630,".mol2","21382_out_ligand_01.mol2"
"80224_out_ligand_01",7630,".mol2","80224_out_ligand_01.mol2"
"tr13189_out_ligand_01",7629,".mol2","tr13189_out_ligand_01.mol2"
"75398_out_ligand_01",7626,".mol2","75398_out_ligand_01.mol2"
"11868_out_ligand_01",7625,".mol2","11868_out_ligand_01.mol2"
"68376_out_ligand_01",7623,".mol2","68376_out_ligand_01.mol2"
"12627_out_ligand_01",7622,".mol2","12627_out_ligand_01.mol2"
"tr13522_out_ligand_01",7622,".mol2","tr13522_out_ligand_01.mol2"
"4679_out_ligand_01",7622,".mol2","4679_out_ligand_01.mol2"
"80466_out_ligand_01",7621,".mol2","80466_out_ligand_01.mol2"
"34731_out_ligand_01",7620,".mol2","34731_out_ligand_01.mol2"
"9655_out_ligand_01",7620,".mol2","9655_out_ligand_01.mol2"
"56457_out_ligand_01",7618,".mol2","56457_out_ligand_01.mol2"
"72917_out_ligand_01",7617,".mol2","72917_out_ligand_01.mol2"
"68313_out_ligand_01",7616,".mol2","68313_out_ligand_01.mol2"
"tr13184_out_ligand_01",7614,".mol2","tr13184_out_ligand_01.mol2"
"78256_out_ligand_01",7614,".mol2","78256_out_ligand_01.mol2"
"9104_out_ligand_01",7614,".mol2","9104_out_ligand_01.mol2"
"63600_out_ligand_01",7612,".mol2","63600_out_ligand_01.mol2"
"45617_out_ligand_01",7611,".mol2","45617_out_ligand_01.mol2"
"76548_out_ligand_01",7611,".mol2","76548_out_ligand_01.mol2"
"81379_out_ligand_01",7610,".mol2","81379_out_ligand_01.mol2"
"47194_out_ligand_01",7610,".mol2","47194_out_ligand_01.mol2"
"30175_out_ligand_01",7608,".mol2","30175_out_ligand_01.mol2"
"30650_out_ligand_01",7606,".mol2","30650_out_ligand_01.mol2"
"26744_out_ligand_01",7606,".mol2","26744_out_ligand_01.mol2"
"28780_out_ligand_01",7605,".mol2","28780_out_ligand_01.mol2"
"74963_out_ligand_01",7605,".mol2","74963_out_ligand_01.mol2"
"tr13256_out_ligand_01",7604,".mol2","tr13256_out_ligand_01.mol2"
"34204_out_ligand_01",7603,".mol2","34204_out_ligand_01.mol2"
"68722_out_ligand_01",7602,".mol2","68722_out_ligand_01.mol2"
"40112_out_ligand_01",7601,".mol2","40112_out_ligand_01.mol2"
"28577_out_ligand_01",7600,".mol2","28577_out_ligand_01.mol2"
"52538_out_ligand_01",7600,".mol2","52538_out_ligand_01.mol2"
"84158_out_ligand_01",7599,".mol2","84158_out_ligand_01.mol2"
"20246_out_ligand_01",7599,".mol2","20246_out_ligand_01.mol2"
"66900_out_ligand_01",7599,".mol2","66900_out_ligand_01.mol2"
"28785_out_ligand_01",7599,".mol2","28785_out_ligand_01.mol2"
"25934_out_ligand_01",7597,".mol2","25934_out_ligand_01.mol2"
"28597_out_ligand_01",7595,".mol2","28597_out_ligand_01.mol2"
"tr13578_out_ligand_01",7595,".mol2","tr13578_out_ligand_01.mol2"
"72880_out_ligand_01",7595,".mol2","72880_out_ligand_01.mol2"
"35904_out_ligand_01",7594,".mol2","35904_out_ligand_01.mol2"
"tr13737_out_ligand_01",7593,".mol2","tr13737_out_ligand_01.mol2"
"52540_out_ligand_01",7593,".mol2","52540_out_ligand_01.mol2"
"65271_out_ligand_01",7593,".mol2","65271_out_ligand_01.mol2"
"3101_out_ligand_01",7591,".mol2","3101_out_ligand_01.mol2"
"tr13758_out_ligand_01",7590,".mol2","tr13758_out_ligand_01.mol2"
"59155_out_ligand_01",7590,".mol2","59155_out_ligand_01.mol2"
"tr13350_out_ligand_01",7590,".mol2","tr13350_out_ligand_01.mol2"
"33868_out_ligand_01",7588,".mol2","33868_out_ligand_01.mol2"
"68289_out_ligand_01",7588,".mol2","68289_out_ligand_01.mol2"
"7045_out_ligand_01",7588,".mol2","7045_out_ligand_01.mol2"
"tr13580_out_ligand_01",7588,".mol2","tr13580_out_ligand_01.mol2"
"38406_out_ligand_01",7587,".mol2","38406_out_ligand_01.mol2"
"6749_out_ligand_01",7587,".mol2","6749_out_ligand_01.mol2"
"33782_out_ligand_01",7586,".mol2","33782_out_ligand_01.mol2"
"33970_out_ligand_01",7585,".mol2","33970_out_ligand_01.mol2"
"30605_out_ligand_01",7585,".mol2","30605_out_ligand_01.mol2"
"74649_out_ligand_01",7585,".mol2","74649_out_ligand_01.mol2"
"58893_out_ligand_01",7584,".mol2","58893_out_ligand_01.mol2"
"80811_out_ligand_01",7582,".mol2","80811_out_ligand_01.mol2"
"12474_out_ligand_01",7581,".mol2","12474_out_ligand_01.mol2"
"22645_out_ligand_01",7581,".mol2","22645_out_ligand_01.mol2"
"28574_out_ligand_01",7581,".mol2","28574_out_ligand_01.mol2"
"22803_out_ligand_01",7580,".mol2","22803_out_ligand_01.mol2"
"29223_out_ligand_01",7579,".mol2","29223_out_ligand_01.mol2"
"318_out_ligand_01",7578,".mol2","318_out_ligand_01.mol2"
"80410_out_ligand_01",7577,".mol2","80410_out_ligand_01.mol2"
"30399_out_ligand_01",7576,".mol2","30399_out_ligand_01.mol2"
"67974_out_ligand_01",7576,".mol2","67974_out_ligand_01.mol2"
"60424_out_ligand_01",7576,".mol2","60424_out_ligand_01.mol2"
"30536_out_ligand_01",7575,".mol2","30536_out_ligand_01.mol2"
"22932_out_ligand_01",7575,".mol2","22932_out_ligand_01.mol2"
"52096_out_ligand_01",7574,".mol2","52096_out_ligand_01.mol2"
"24511_out_ligand_01",7574,".mol2","24511_out_ligand_01.mol2"
"3582_out_ligand_01",7574,".mol2","3582_out_ligand_01.mol2"
"12673_out_ligand_01",7573,".mol2","12673_out_ligand_01.mol2"
"44376_out_ligand_01",7573,".mol2","44376_out_ligand_01.mol2"
"30615_out_ligand_01",7573,".mol2","30615_out_ligand_01.mol2"
"83647_out_ligand_01",7573,".mol2","83647_out_ligand_01.mol2"
"79541_out_ligand_01",7572,".mol2","79541_out_ligand_01.mol2"
"31559_out_ligand_01",7572,".mol2","31559_out_ligand_01.mol2"
"51729_out_ligand_01",7572,".mol2","51729_out_ligand_01.mol2"
"63657_out_ligand_01",7570,".mol2","63657_out_ligand_01.mol2"
"3215_out_ligand_01",7569,".mol2","3215_out_ligand_01.mol2"
"13262_out_ligand_01",7569,".mol2","13262_out_ligand_01.mol2"
"52550_out_ligand_01",7568,".mol2","52550_out_ligand_01.mol2"
"42501_out_ligand_01",7567,".mol2","42501_out_ligand_01.mol2"
"34494_out_ligand_01",7567,".mol2","34494_out_ligand_01.mol2"
"43589_out_ligand_01",7567,".mol2","43589_out_ligand_01.mol2"
"35703_out_ligand_01",7566,".mol2","35703_out_ligand_01.mol2"
"51404_out_ligand_01",7563,".mol2","51404_out_ligand_01.mol2"
"65329_out_ligand_01",7563,".mol2","65329_out_ligand_01.mol2"
"45223_out_ligand_01",7563,".mol2","45223_out_ligand_01.mol2"
"1899_out_ligand_01",7562,".mol2","1899_out_ligand_01.mol2"
"43399_out_ligand_01",7562,".mol2","43399_out_ligand_01.mol2"
"tr1336_out_ligand_01",7562,".mol2","tr1336_out_ligand_01.mol2"
"81516_out_ligand_01",7562,".mol2","81516_out_ligand_01.mol2"
"27986_out_ligand_01",7561,".mol2","27986_out_ligand_01.mol2"
"80107_out_ligand_01",7561,".mol2","80107_out_ligand_01.mol2"
"9112_out_ligand_01",7561,".mol2","9112_out_ligand_01.mol2"
"33783_out_ligand_01",7560,".mol2","33783_out_ligand_01.mol2"
"28584_out_ligand_01",7559,".mol2","28584_out_ligand_01.mol2"
"20666_out_ligand_01",7559,".mol2","20666_out_ligand_01.mol2"
"33723_out_ligand_01",7559,".mol2","33723_out_ligand_01.mol2"
"79521_out_ligand_01",7558,".mol2","79521_out_ligand_01.mol2"
"68355_out_ligand_01",7558,".mol2","68355_out_ligand_01.mol2"
"74774_out_ligand_01",7558,".mol2","74774_out_ligand_01.mol2"
"29365_out_ligand_01",7557,".mol2","29365_out_ligand_01.mol2"
"57290_out_ligand_01",7556,".mol2","57290_out_ligand_01.mol2"
"15351_out_ligand_01",7556,".mol2","15351_out_ligand_01.mol2"
"22813_out_ligand_01",7556,".mol2","22813_out_ligand_01.mol2"
"14397_out_ligand_01",7554,".mol2","14397_out_ligand_01.mol2"
"1872_out_ligand_01",7553,".mol2","1872_out_ligand_01.mol2"
"1859_out_ligand_01",7553,".mol2","1859_out_ligand_01.mol2"
"76276_out_ligand_01",7553,".mol2","76276_out_ligand_01.mol2"
"49204_out_ligand_01",7553,".mol2","49204_out_ligand_01.mol2"
"19278_out_ligand_01",7553,".mol2","19278_out_ligand_01.mol2"
"27039_out_ligand_01",7553,".mol2","27039_out_ligand_01.mol2"
"44796_out_ligand_01",7552,".mol2","44796_out_ligand_01.mol2"
"78171_out_ligand_01",7551,".mol2","78171_out_ligand_01.mol2"
"71946_out_ligand_01",7551,".mol2","71946_out_ligand_01.mol2"
"46894_out_ligand_01",7550,".mol2","46894_out_ligand_01.mol2"
"15366_out_ligand_01",7550,".mol2","15366_out_ligand_01.mol2"
"67879_out_ligand_01",7549,".mol2","67879_out_ligand_01.mol2"
"36031_out_ligand_01",7548,".mol2","36031_out_ligand_01.mol2"
"46862_out_ligand_01",7548,".mol2","46862_out_ligand_01.mol2"
"9734_out_ligand_01",7548,".mol2","9734_out_ligand_01.mol2"
"39660_out_ligand_01",7547,".mol2","39660_out_ligand_01.mol2"
"76679_out_ligand_01",7547,".mol2","76679_out_ligand_01.mol2"
"47115_out_ligand_01",7547,".mol2","47115_out_ligand_01.mol2"
"33675_out_ligand_01",7547,".mol2","33675_out_ligand_01.mol2"
"76633_out_ligand_01",7547,".mol2","76633_out_ligand_01.mol2"
"35674_out_ligand_01",7547,".mol2","35674_out_ligand_01.mol2"
"15619_out_ligand_01",7545,".mol2","15619_out_ligand_01.mol2"
"20062_out_ligand_01",7545,".mol2","20062_out_ligand_01.mol2"
"45036_out_ligand_01",7542,".mol2","45036_out_ligand_01.mol2"
"28616_out_ligand_01",7542,".mol2","28616_out_ligand_01.mol2"
"18072_out_ligand_01",7542,".mol2","18072_out_ligand_01.mol2"
"30653_out_ligand_01",7541,".mol2","30653_out_ligand_01.mol2"
"74973_out_ligand_01",7540,".mol2","74973_out_ligand_01.mol2"
"30667_out_ligand_01",7540,".mol2","30667_out_ligand_01.mol2"
"14422_out_ligand_01",7540,".mol2","14422_out_ligand_01.mol2"
"32487_out_ligand_01",7540,".mol2","32487_out_ligand_01.mol2"
"49634_out_ligand_01",7539,".mol2","49634_out_ligand_01.mol2"
"3204_out_ligand_01",7539,".mol2","3204_out_ligand_01.mol2"
"15712_out_ligand_01",7538,".mol2","15712_out_ligand_01.mol2"
"73038_out_ligand_01",7538,".mol2","73038_out_ligand_01.mol2"
"5022_out_ligand_01",7538,".mol2","5022_out_ligand_01.mol2"
"51516_out_ligand_01",7538,".mol2","51516_out_ligand_01.mol2"
"14378_out_ligand_01",7538,".mol2","14378_out_ligand_01.mol2"
"43719_out_ligand_01",7537,".mol2","43719_out_ligand_01.mol2"
"37012_out_ligand_01",7537,".mol2","37012_out_ligand_01.mol2"
"41715_out_ligand_01",7537,".mol2","41715_out_ligand_01.mol2"
"52226_out_ligand_01",7536,".mol2","52226_out_ligand_01.mol2"
"14577_out_ligand_01",7536,".mol2","14577_out_ligand_01.mol2"
"45609_out_ligand_01",7536,".mol2","45609_out_ligand_01.mol2"
"26737_out_ligand_01",7535,".mol2","26737_out_ligand_01.mol2"
"tr13739_out_ligand_01",7535,".mol2","tr13739_out_ligand_01.mol2"
"23075_out_ligand_01",7534,".mol2","23075_out_ligand_01.mol2"
"23012_out_ligand_01",7534,".mol2","23012_out_ligand_01.mol2"
"16676_out_ligand_01",7534,".mol2","16676_out_ligand_01.mol2"
"64797_out_ligand_01",7534,".mol2","64797_out_ligand_01.mol2"
"22810_out_ligand_01",7531,".mol2","22810_out_ligand_01.mol2"
"30639_out_ligand_01",7530,".mol2","30639_out_ligand_01.mol2"
"43433_out_ligand_01",7530,".mol2","43433_out_ligand_01.mol2"
"76408_out_ligand_01",7530,".mol2","76408_out_ligand_01.mol2"
"76381_out_ligand_01",7529,".mol2","76381_out_ligand_01.mol2"
"52968_out_ligand_01",7528,".mol2","52968_out_ligand_01.mol2"
"17002_out_ligand_01",7528,".mol2","17002_out_ligand_01.mol2"
"22886_out_ligand_01",7527,".mol2","22886_out_ligand_01.mol2"
"80006_out_ligand_01",7527,".mol2","80006_out_ligand_01.mol2"
"84406_out_ligand_01",7527,".mol2","84406_out_ligand_01.mol2"
"1381_out_ligand_01",7526,".mol2","1381_out_ligand_01.mol2"
"61042_out_ligand_01",7526,".mol2","61042_out_ligand_01.mol2"
"57284_out_ligand_01",7526,".mol2","57284_out_ligand_01.mol2"
"40305_out_ligand_01",7525,".mol2","40305_out_ligand_01.mol2"
"63855_out_ligand_01",7525,".mol2","63855_out_ligand_01.mol2"
"7134_out_ligand_01",7524,".mol2","7134_out_ligand_01.mol2"
"2941_out_ligand_01",7524,".mol2","2941_out_ligand_01.mol2"
"80127_out_ligand_01",7524,".mol2","80127_out_ligand_01.mol2"
"64548_out_ligand_01",7523,".mol2","64548_out_ligand_01.mol2"
"19595_out_ligand_01",7523,".mol2","19595_out_ligand_01.mol2"
"30344_out_ligand_01",7523,".mol2","30344_out_ligand_01.mol2"
"70383_out_ligand_01",7523,".mol2","70383_out_ligand_01.mol2"
"1525_out_ligand_01",7523,".mol2","1525_out_ligand_01.mol2"
"30485_out_ligand_01",7522,".mol2","30485_out_ligand_01.mol2"
"9102_out_ligand_01",7522,".mol2","9102_out_ligand_01.mol2"
"14952_out_ligand_01",7522,".mol2","14952_out_ligand_01.mol2"
"12994_out_ligand_01",7521,".mol2","12994_out_ligand_01.mol2"
"28521_out_ligand_01",7521,".mol2","28521_out_ligand_01.mol2"
"52560_out_ligand_01",7520,".mol2","52560_out_ligand_01.mol2"
"36668_out_ligand_01",7519,".mol2","36668_out_ligand_01.mol2"
"4771_out_ligand_01",7519,".mol2","4771_out_ligand_01.mol2"
"64790_out_ligand_01",7519,".mol2","64790_out_ligand_01.mol2"
"57000_out_ligand_01",7518,".mol2","57000_out_ligand_01.mol2"
"35752_out_ligand_01",7518,".mol2","35752_out_ligand_01.mol2"
"16913_out_ligand_01",7518,".mol2","16913_out_ligand_01.mol2"
"72743_out_ligand_01",7518,".mol2","72743_out_ligand_01.mol2"
"83254_out_ligand_01",7517,".mol2","83254_out_ligand_01.mol2"
"67045_out_ligand_01",7517,".mol2","67045_out_ligand_01.mol2"
"24662_out_ligand_01",7517,".mol2","24662_out_ligand_01.mol2"
"43336_out_ligand_01",7516,".mol2","43336_out_ligand_01.mol2"
"24053_out_ligand_01",7516,".mol2","24053_out_ligand_01.mol2"
"79516_out_ligand_01",7516,".mol2","79516_out_ligand_01.mol2"
"26862_out_ligand_01",7515,".mol2","26862_out_ligand_01.mol2"
"71858_out_ligand_01",7514,".mol2","71858_out_ligand_01.mol2"
"13350_out_ligand_01",7514,".mol2","13350_out_ligand_01.mol2"
"66737_out_ligand_01",7514,".mol2","66737_out_ligand_01.mol2"
"76629_out_ligand_01",7513,".mol2","76629_out_ligand_01.mol2"
"17398_out_ligand_01",7513,".mol2","17398_out_ligand_01.mol2"
